lat,lng,zip,desc,title,timeStamp,twp,addr,e
5.6358281,-0.1613592,233,"East Legon, Accra, Ghana,12/10/2015@15:20",EMS: BACK PAINS/INJURY,10/12/2015 15:20,Accra,east legon,1
5.6443691,-0.185427,233,"Noguchie Link, Accra, Ghana,12/10/2015@17:35",EMS: DIABETIC EMERGENCY,10/12/2015 17:35,Accra,vikings hostel,1
5.63394,-0.1740815,233,"Shiashie, Accra, Ghana,12/10/2015@14:39",Fire: GAS-ODOR/LEAK,10/12/2015 14:39,Accra,shiashie,1
5.6510376,-0.1354586,233,"Adjiringanor, Madina, Ghana,12/10/2015@16:47",EMS: CARDIAC EMERGENCY,10/12/2015 16:47,Madina,adjiringanor,1
5.6522021,-0.1881066,233,"W.E.B. Dubois Rd, Accra, Ghana,12/10/2015@16:56",EMS: DIZZINESS,10/12/2015 16:56,Accra,university of ghana computing systems,1
5.651687,-0.189828,233,"J.K.M. Hodasi Rd, Accra, Ghana,12/10/2015@15:39",EMS: HEAD INJURY,10/12/2015 15:39,Accra,volta hall,1
5.6499527,-0.1884151,233,"MR27+2QQ, Doutor J. B. Danquah Avenue, Accra, Ghana,12/10/2015@16:46",EMS: NAUSEA/VOMITING,10/12/2015 16:46,Accra,legon hall,1
5.6504233,-0.1857034,233,"Doutor J. B. Danquah Avenue, Accra, Ghana,12/10/2015@16:17",EMS: RESPIRATORY EMERGENCY,10/12/2015 16:17,Accra,akuafo hall,1
5.6517352,-0.1870479,233,"Doutor J. B. Danquah Avenue, Accra, Ghana,12/10/2015@16:51",EMS: SYNCOPAL EPISODE,10/12/2015 16:51,Accra,balme library,1
5.6585107,-0.1677337,233,"Accra, Ghana,12/10/2015@17:35",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:35,Accra,ideal college ghana,1
5.6559482,-0.1670423,233,"Trinity Ave, Accra, Ghana,12/10/2015@17:33",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:33,Accra,first love center,1
5.6589503,-0.1627447,233,"MR5P+HWJ, Accra, Ghana,12/10/2015@16:32",Traffic: VEHICLE ACCIDENT -,10/12/2015 16:32,Accra,accra college of education,1
5.6533233,-0.1789251,233,"University of Ghana, Legon Boundary, Accra, Ghana,12/10/2015@17:15",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:15,Accra,legon city mall,1
5.5700249,-0.2122824,233,"Ring Road Central, Accra, Ghana,12/10/2015@17:12",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:12,Accra,ernest chemists,1
5.6459098,-0.1790534,233,"N4, Accra, Ghana,12/10/2015@17:09",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:09,Accra,Adenta pharmacy,1
5.6414224,-0.1758815,233,"La-Bawaleshi Rd, Accra, Ghana,12/10/2015@17:31",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:31,Accra,okponglo car wash,1
5.6397935,-0.17815,233,"Okponglo Bus Stop, Legon E Rd, Accra, Ghana,12/10/2015@17:42",EMS: RESPIRATORY EMERGENCY,10/12/2015 17:42,Accra,okponglo,1
5.8511836,-0.1729106,233,"Aburi, Ghana,12/10/2015@17:41",EMS: DIZZINESS,10/12/2015 17:41,Aburi,Aburi,1
5.1931065,-1.0957418,233,"Abandze, Ghana,12/10/2015@17:43",EMS: VEHICLE ACCIDENT,10/12/2015 17:43,Abandze,Abandze,1
5.612781,-0.234345,233,"Achimota, Ghana,12/10/2015@17:45",Traffic: DISABLED VEHICLE -,10/12/2015 17:45,Achimota,Achimota,1
5.700273,-0.302078,233,"Pokoasi, Ghana,12/10/2015@17:43",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:43,,pokuase,1
5.7062137,-0.3019281,233,"Amasaman, Ghana,12/10/2015@17:53",Traffic: DISABLED VEHICLE -,10/12/2015 17:53,Amasaman,amasaman,1
5.607226,-0.258605,233,"Tabora, Tanzania,12/10/2015@17:59",Fire: APPLIANCE FIRE,10/12/2015 17:59,Tabora,tabora,1
5.8607314,-0.6676865,233,"Asamankese, Ghana,12/10/2015@18:00",Traffic: DISABLED VEHICLE -,10/12/2015 18:00,Asamankese,asamankese,1
5.6376136,-0.1266064,233,"Spintex Road, Accra, Ghana,12/10/2015@17:58",Traffic: VEHICLE ACCIDENT -,10/12/2015 17:58,Accra,spintex,1
5.5754558,-0.2742955,233,"Sakaman Bus Stop, Accra, Ghana,12/10/2015@18:02",EMS: GENERAL WEAKNESS,10/12/2015 18:02,Accra,sakaman,1
5.7,-0.4252737,233,"Kasoa, Ghana,12/10/2015@18:02",EMS: HEAD INJURY,10/12/2015 18:02,Kasoa,kasoa,1
6.7447067,-1.6044059,233,"Tafo, Kumasi, Ghana,12/10/2015@18:05",Fire: CARBON MONOXIDE DETECTOR,10/12/2015 18:05,Kumasi,tafo,1
5.5666403,-0.3334778,233,"Weija, Ghana,12/10/2015@18:05",Traffic: VEHICLE ACCIDENT -,10/12/2015 18:05,Weija,weija,1
5.7,-0.3,233,"Amasaman, Ghana,12/10/2015@18:10",Traffic: DISABLED VEHICLE -,10/12/2015 18:10,Avon,amasaman,1
6.8058848,-1.5353893,233,"Aboaso, Ghana,12/10/2015@18:07",Traffic: VEHICLE ACCIDENT -,10/12/2015 18:07,Aboaso,Aboaso,1
7.1354022,-1.7319828,233,"Abofour, Ghana,12/10/2015@18:09",EMS: RESPIRATORY EMERGENCY,10/12/2015 18:09,Abofour,Abofour,1
6.7559282,-1.6799196,233,"Abrepo Rd, Ghana,12/10/2015@18:17",EMS: UNKNOWN MEDICAL EMERGENCY,10/12/2015 18:17,,Abrepo,1
6.2980575,-1.8369139,233,"Abuakwa, Ghana,12/10/2015@18:21",Traffic: VEHICLE ACCIDENT -,10/12/2015 18:21,Abuakwa,Abuakwa Ashanti,1
6.1720193,-1.4241426,233,"Adansi Asokwa, Ghana,12/10/2015@18:23",Traffic: DISABLED VEHICLE -,10/12/2015 18:23,,Adansi Asokwa,1
6.812697,-1.4756031,233,"Adanwomase, Ghana,12/10/2015@18:20",Traffic: DISABLED VEHICLE -,10/12/2015 18:20,Adanwomase,Adanwomase,1
6.8784526,-1.8525626,233,"Adugyama, Ghana,12/10/2015@18:23",Traffic: VEHICLE ACCIDENT -,10/12/2015 18:23,Adugyama,Adugyama,1
